time,age,gender
2021-03-08 12:00:00,"[0, 0, 4, 11, 1, 0, 0, 0]","[1, 15]"
2021-03-08 12:00:00,"[0, 0, 0, 1, 0, 0, 0, 0]","[0, 1]"
2021-03-08 12:00:00,"[0, 0, 5, 10, 0, 0, 0, 0]","[0, 15]"
2021-03-08 12:00:00,"[0, 0, 0, 1, 0, 0, 0, 0]","[0, 1]"
2021-03-08 12:00:00,"[0, 0, 8, 5, 0, 0, 0, 0]","[0, 14]"
2021-03-08 12:00:00,"[0, 0, 1, 0, 0, 0, 0, 0]","[0, 1]"
2021-03-08 12:00:00,"[0, 0, 12, 2, 0, 0, 0, 0]","[14, 0]"
2021-03-08 12:00:00,"[0, 0, 1, 0, 0, 0, 0, 0]","[1, 0]"
2021-03-08 12:00:00,"[0, 0, 14, 1, 0, 0, 0, 0]","[15, 0]"
2021-03-08 12:00:00,"[0, 0, 1, 0, 0, 0, 0, 0]","[1, 0]"
2021-03-08 00:00:00,"[0, 0, 5, 1, 0, 0, 0, 0]","[0, 6]"
2021-03-08 00:00:00,"[0, 0, 0, 1, 0, 0, 0, 0]","[0, 1]"
2021-03-08 00:00:00,"[0, 0, 13, 3, 0, 0, 0, 0]","[0, 16]"
2021-03-08 00:00:00,"[0, 0, 12, 4, 0, 0, 0, 0]","[0, 16]"
2021-03-08 00:00:00,"[0, 0, 1, 0, 0, 0, 0, 0]","[0, 1]"
2021-03-08 00:00:00,"[0, 0, 10, 6, 0, 0, 0, 0]","[0, 16]"
2021-03-08 12:00:00,"[0, 0, 5, 4, 0, 0, 0, 0]","[0, 9]"
2021-03-08 12:00:00,"[0, 0, 0, 1, 0, 0, 0, 0]","[0, 1]"
2021-03-08 12:00:00,"[0, 0, 3, 11, 0, 0, 0, 0]","[0, 14]"
2021-03-08 12:00:00,"[0, 0, 8, 6, 0, 0, 0, 0]","[0, 14]"
2021-03-08 12:00:00,"[0, 0, 1, 0, 0, 0, 0, 0]","[0, 1]"
2021-03-08 12:00:00,"[0, 0, 9, 7, 0, 0, 0, 0]","[16, 0]"
2021-03-08 12:00:00,"[0, 0, 1, 0, 0, 0, 0, 0]","[1, 0]"
2021-03-13 14:00:00,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0]"
2021-03-14 12:00:00,"[0, 0, 3, 6, 12, 8, 0, 0]","[14, 15]"
2021-03-14 14:00:00,"[0, 0, 3, 35, 13, 8, 0, 0]","[14, 45]"
2021-03-14 18:00:00,"[0, 0, 0, 71, 4, 0, 4, 0]","[4, 75]"
2021-03-15 10:00:00,"[0, 0, 2, 14, 0, 0, 0, 0]","[0, 16]"
2021-03-15 10:00:00,"[0, 0, 12, 36, 0, 0, 0, 0]","[0, 48]"
2021-03-15 12:00:00,"[0, 0, 8, 53, 0, 1, 4, 0]","[1, 65]"
2021-03-15 14:00:00,"[0, 0, 14, 2, 0, 0, 0, 0]","[0, 16]"
2021-03-16 08:00:00,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0]"
2021-03-16 10:00:00,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0]"
2021-03-16 10:00:00,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0]"
2021-03-16 20:00:00,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0]"
2021-03-21,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0]"
2021-03-21,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0]"
2021-03-27 10:00:00,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0]"
